Código AMIE|Nombre de la Institución Educativa|Código División Política Administrativa Provincia|Provincia|Código División Política Administrativa  Cantón|Cantón|Código División Política Administrativa  Parroquia|Parroquia|Zona Administrativa|Denominación del Distrito|Código de Distrito|Código de Circuito Educativo| Unidad Administrativa Circuital (propuesta de ubicación)|Casos excepcionales|Sostenimiento|Régimen Escolar|Jurisdicción|Tipo de Educación|Modalidad|Jornada|Nivel|Etnia|Nacionalidad|Pueblo|Institución Educativa georeferenciada|Institución responsable|Acceso (terrestre/ aéreo/fluvial)|Número de estudiantes|Número de docentes|Estado
08H02231|8 DE SEPTIEMBRE|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Fiscal|COSTA|Hispana|Popular Permanente|Presencial|Nocturna|Alfabetización P.P|Mestiza|NULL|NULL|NO|0|Terrestre|51|0|Activa
08H02177|ECO-MUNDO|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Particular|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|NULL|NULL|NO|0|Terrestre|166|8|Activa
08H02186|ARTESANAL MODA ACTUAL|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Fiscal|COSTA|Hispana|Popular Permanente|Presencial|Matutina|Educación Básica|Mestiza|NULL|NULL|NO|0|Terrestre|24|2|Activa
08H01156|CENTRO DE FORMACION ARTESANAL 21 DE SEPTIEMBRE|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Particular|COSTA|Hispana|Popular Permanente|Presencial|Vespertina|Educación Básica y Artesanal P.P|Mestiza|No aplica|No Aplica|NO|1|Terrestre|50|4|Activa
08H01161|FREDESULINDA ROSERO  DE  PÁEZ|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Fiscal|COSTA|Hispana|Popular Permanente|Presencial|Vespertina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|261|10|Activa
08H01127|CENTRO OCUPASIONAL POPULAR NUEVA CONCORDIA|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Fiscal|COSTA|Hispana|Popular Permanente|Presencial|Nocturna|Educación Básica, Alfabetización y Artesanal P.P.|Mestiza|No aplica|No Aplica|NO|1|Terrestre|28|1|Activa
08H01132|COLEGIO JUAN MONTALVO|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Particular|COSTA|Hispana|Popular Permanente|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|No aplica|No Aplica|NO|1|Terrestre|180|8|Activa
08H01134|DAVID AUSUBEL|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Particular|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|SI|2|Terrestre|23|6|Activa
08H01136|AGUSTIN OCAMPO SANTANDER|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|SI|2|Terrestre|238|9|Activa
08H01137|ESCUELA MARICELA LOOR DE ALAVA|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|2|Terrestre|77|2|Activa
08H01144|DOCTOR ANDRES F CORDOVA|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|SI|2|Terrestre|348|11|Activa
08H01145|BENITO JUAREZ|08|ESMERALDAS|0808|LA CONCORDIA|080850|LA CONCORDIA|Zona 4|LA CONCORDIA|23D03|23D03C01||0|Particular|COSTA|Hispana|Educación regular|Presencial|Vespertina|Educación Básica|Mestiza|No aplica|No Aplica|SI|2|Terrestre|43|0|Activa
